BORO,DBA,COUNTA of DBA
,FRANKS PIZZA RESTAURANT,1
,"FRANKLIN PARK, DUTCH BOY BURGER",1
,FRADEI,1
,FORTUNATO BROS CAFE & BAKERY,1
,FOOD SING RESTAURANT,1
,FONDA,1
,FLORIDIAN DINER,1
,FLAVA II,1
,FISHERMAN'S COVE,1
,FEDERICO'S PIZZERIA,1
,FAUN,1
,EXQUISITO DOMINICAN RESTAURANT,1
,ENERGY FUEL CAFE,1
,EMPIRE KITCHEN .,1
,ELIA,1
,EL SANCHO MEXICAN TORTERIA,1
,EL SABOR DE LA ESQUINA,1
,EL REY II RESTAURANT,1
,EL RANCHO RESTAURANT,1
,EL LEMPIRAS RESTAURANT,1
,EL ESPINO RESTAURANT,1
,EL COMEDOR RESTAURANTE,1
,DUN-WELL DOUGHNUTS,1
,DOMINOS,1
,DOKEBI GRILL,1
,DINO,1
,DIMMER & SUMMER,1
,DIM SUM KING & BAKERY,1
,DEE BEST ZEPOLES,1
,DEBUTEA,1
,CROWN FRIED CHICKEN & PIZZA,1
,CROWN FRIED CHICKEN,1
,CROWN BAGELS & PIZZA,1
,CREME CUISINE,1
,COURT PASTRY SHOP,1
,CORK & SLICE,1
,CONNECTICUT MUFFIN,1
,COFFEE SPOT CAFE,1
,CITY LINE PIZZA & PASTA,1
,CHUAN TIAN XIA,1
,CHOPSTIX,1
,CHLOE'S,1
,CHINGOO RESTAURANT,1
,CHINESE MUSICIAN RESTAURANT,1
,CHINA CITY II,1
,CHEZ OSKAR,1
,CHEESE & BREAD,1
,CHE,1
,CATSKILL BAGEL CO.,1
,CASA MAYA (GREEN CAFE & JUICE BAR),1
,CARIDAD CHINA RESTAURANT,1
,CARIBE RESTAURANT,1
,C & L NEW YORK TRADING INC,1
,BURGER KING,1
,BUNNA CAFE,1
,BULBAP GRILL,1
,Buddies Coffee,1
,BROOKLYN KOLACHE CO,1
,BROKEN LAND,1
,BOUTROS,1
,BOU'OTE,1
,BOOLEY'S RESTAURANT & BAKERY,1
,BONJOUR BROOKLYN BAKERY,1
,BOEUF & BUN,1
,BLOSSOM DINER,1
,BLACK BRICK,1
,BISTRO1804,1
,BIRO-EN RESTAURANT,1
,BENNY'S BRICK OVEN,1
,BEBE FRITAY,1
,BAYRIDGE TURKISH CAFE,1
,BARON'S,1
,BAREBURGER,1
,BACK HOME BAKERY,1
,B'KLYN BURRO,1
,AVLEE GREEK KITCHEN,1
,AUTHENTIC SZECHUAN,1
,ARTICHOKE BASILLE'S PIZZA,1
,ANTOJITOS ECUATORIANOS,1
,ANTOJITOS DELI FOOD,1
,ANGIE'S BREAKFAST SPOT,1
,ANGELES BAKERY,1
,AMY THAI BISTRO,1
,ALIOTTA BAKE SHOP,1
,Al Bait Baitak,1
,ACHILLES HEEL,1
,ABRACADABRA MAGIC DELI,1
,ABILENE,1
,ABDULLAH SWEETS AND RESTAURANT,1
,A BAR,1
,98K,1
,5 STAR VILLAGE CAFE,1
,333 LOUNGE,1
Brooklyn Total,,372
Queens,SUBWAY,5
,YUNNAN RICE NOODLE HOUSE,2
,YUMMY MANDARIN RESTAURANT,2
,YER MAN'S IRISH PUB,2
,SHUN FOOK CHINESE RESTAURANT,2
,POLLO D. MARIA,2
,PATMAR BAKE SHOP,2
,LAS TIAS BAKERY,2
,LA ROJA DE TODOS,2
,LA GULI PASTRY SHOP,2
,KENNEDY FRIED CHICKEN,2
,JOJU & JOJU BOWL,2
,IHOP,2
,GOLDEN PALACE,2
,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,2
,FATIMA HALAL RESTAURANT,2
,EAST 21,2
,DUNKIN,2
,CRAZY WILLY'S,2
,CARVEL,2
,1.5 DAK GALBI,2
,ZHANG LIANG HOT POT,1
,ZAAB ZAAB,1
,YUMMY TACO,1
,YI MEI BAKERY,1
,YANWU,1
,WOW BAGEL,1
,WENDY'S,1
,VIDA,1
,VALERIO JUICE BAR,1
,V.I. PIZZA,1
,UKUS,1
,TWO QUEENS CUISINE,1
,TSAOCAA,1
,TROPICAL JADE 2,1
,TRINI DELITE,1
,TOZTON,1
,TLAXCALITA LA BELLA,1
,TITAHS DELI GROCERY,1
,TI HU THE NOODLE HOUSE,1
,THE EMPANADA SPOT,1
,TE QUIERO,1
,TBAAR,1
,TANDOOR RESTAURANT,1
,TAAM WEST INDIAN HALAL,1
,SZE'S GARDEN,1
,SWEETS BAKERY & CAFE,1
,SUSHI YOSHI/TSAOCAA,1
,SUSHI AKIO,1
,STARLIGHT GRILL RESTAURANT & SWEETS,1
,STACKED SANDWICH SHOP,1
,SPICE ON A SLICE,1
,SONG SONG FOOD,1
,SOHNA PUNJAB INDIAN RESTAURANT,1
,SODAM,1
,SNACK TIME GRILL,1
,SMOKEY CHICK,1
,SLIDER BURGER,1
,SLICE,1
,SHUN WON FLUSHING,1
,SHUN WANG RESTAURANT,1
,SHUFOOD VEGGIE KITCHEN,1
,SHIMIAODAO YUNNAN RICE NOODLE,1
,SHAKE SHACK,1
,SHAHI DHABA,1
,SHAD RESTAURANT,1
,SEEK COFFEE,1
,SBARRO,1
,SABROSURA LATINA,1
,RUMBA Y SAZON BAR,1
,RUMA'S KITCHEN,1
,ROYAL QUEEN,1
,Rose Concession Stand,1
,ROSA'S PIZZA & PASTA,1
,RICO PAN BAKERY,1
,RESTAURANTE Y ANTOJITOS GUATELINDA,1
,REN'S GREAT WALL RESTAURANT,1
,RED RIBBON BAKESHOP,1
,RED PIPES CAFE,1
,RED MANGO,1
,QK Restaurant Inc.,1
,PRONTO RESTAURANT,1
,POPEYES,1
,PLAYGROUND,1
,PIKALO ROASTED CHICKEN & PIZZA,1
,PIAZZA PIZZA,1
,PEKING RESTAURANT,1
,PAPA JOHN'S,1
,OLIVE DELI & CAFE,1
,ODAAN,1
,OCEAN SIDE RESTAURANT,1
,OBA GRILL,1
,O.B'S BAKERY,1
,NYC TIKKA MASALA,1
,NUTRIPAN COLOMBIAN BAKERY,1
,NORTH SHORE DINER,1
,No.1 CHINESE RESTAURANT,1
,NO. 1 CHINESE RESTAURANT,1
,NEW YORK TAVERN,1
,NEW THRIVING RESTAURANT,1
,NEW QQ CAFE AND BAKERY,1
,NEW KING WAH,1
,NEW HO WAH CHINESE,1
,NEW GRAND BUFFET,1
,NAPOLI'S BISTRO,1
,MR. POLLO #1,1
,MR. CHICKEN AND MRS. TEA,1
,MR WASABI,1
,MOMEMTOS SPORT BAR,1
,MMM...THATS A WRAP,1
,MMM...THAT'S A WRAP,1
,MIZUMI,1
,MEXICO EL SALVADOR INC,1
,MCDONALD'S,1
,MANUEL E RESTAURANT,1
,MANNAN BAKERY,1
,MAMITA'S,1
,MAD FOR CHICKEN,1
,M & M BROADWAY BAKERY,1
,LUKE KELLYS,1
,LOS TOLDOS RESTAURANT,1
,LOS MARINILLOS,1
,LIBERTY BAGELS,1
,LENG EARTH FOOD,1
,LAS MARGARITAS BAR & RESTAURANT,1
,LAS MARGARITAS ASTORIA BAR & RESTAURANT,1
,LAS AMERICAS BAKERY,1
,LA POLLERA DE MARIO,1
,LA MORENITA ECUATORIANA RESTAURANT,1
,LA GATA GOLOSA BAKERY / YOGURBERRY,1
,LA DOLCE ITALIA BAKERY,1
,LA CANOA,1
,KINGS WOK,1
,KIMCHAYUL MYUNGPOOM GALBI,1
,KFC,1
,KEW MOTOR INN RESTAURANT & BAR,1
,KALON FOOD + EVENTS,1
,KABAYAN BISTRO LOUNGE & BANQUET,1
,JUICE BAR NUTRITION,1
,JU MAKK,1
,JOSE SEAFOOD,1
,JIA YOUNG CAFE,1
,JI YOU BRAISED FOOD,1
,JAMAICAN FLAVORS,1
,JAMAICA LOBSTER,1
,JAHN'S RESTAURANT,1
,ISLAND ROTI SHOP,1
,IHOP#3790,1
,I AM KIMCHI,1
,HOT PEPPERS,1
,HONG KONG GARDEN,1
,HOMEMADE TAQUERIA,1
,HIBISCUS RESTAURANT EXPRESS,1
,HIBACH EXPRESS,1
,GREEN SPOT CAFE,1
,GREEN LEAF BISTRO NYC,1
,GRANO DE CAFE,1
,GOOD FELLAS PIZZA,1
,GLENDALE BAKESHOP & CAFE,1
,FOO AN CHINESE FOOD,1
,FLOWERS & FLOUR,1
,FITOOR,1
,FISH VILLAGE,1
,FIRST HAND FOOD,1
,FAMILY KITCHEN,1
,FAIRFIELD BANQUET HALL & PLATINUM UNITED CARE,1
,EXQUISITO RESTAURANT,1
,ESQUIRE DINER,1
